	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	Dans quelle région le clan de la Main-Brisée rôde-t-il ?	Flèches d'Arak	Gorgrond	Crête De Givrefeu	Nagrand	Jungle De Tanaan	Vallée D'Ombrelune	WOD	
	Dans quel donjon se trouve "Magmolatus" ?	Mine de la Masse-Sanglante	Quais de Fer	Auchindoun	Orée-du-Ciel	La Flore éternelle	Dépôt de Tristerail	WOD	
	Dans quel donjon se trouve "Crânoc" ?	Quais de Fer	Mine de la Masse-Sanglante	La Flore éternelle	Auchindoun	Orée-du-Ciel	Dépôt de Tristerail	WOD	
	Dans quel donjon se trouve "Grand sage Viryx" ?	Orée-du-Ciel	Quais de Fer	Mine de la Masse-Sanglante	La Flore éternelle	Auchindoun	Dépôt de Tristerail	WOD	
	Dans quel donjon se trouve "Teron’gor" ?	Auchindoun	Quais de Fer	Mine de la Masse-Sanglante	Orée-du-Ciel	La Flore éternelle	Dépôt de Tristerail	WOD	
	Dans quel donjon se trouve "Nitrogg Tour-de-Tonnerre" ?	Dépôt de Tristerail	Quais de Fer	Mine de la Masse-Sanglante	Orée-du-Ciel	La Flore éternelle	Auchindoun	WOD	
	Laquelle de ces montures n'est pas sortie durant l'extension Warlords of Draenor ?	Oeuf fumant de Millagazor	Etalon sabot-de-sang	Foule-prairie tacheté	Gronnlin peau-solaire	Potamodonte saphir	Destructeur sabot-de-fer	WOD	
	Laquelle de ces montures n'est pas sortie durant l'extension Wrath of the Lich King ?	Destrier de la mort de Vaillefendre	Rênes de drake bronze	Rênes de proto-drake perdu dans le temps	Tête de Mimiron	Rênes d'Invincible	Rênes de proto-drake bleu	WOLTK	
	Quel est le dernier boss du raid "Cognefort" ?	Imperator Mar'Gok	Kargath Lamepoing	Le Boucher	Ko’ragh	Ogrons jumeaux 	Fougerme	WOD	
	Quel est le dernier boss du raid "Fonderie des Rochenoires" ?	Main noire	Gruul	Mangeroc	Garrosh Hurlenfer	Archimonde	Vierges de Fer 	WOD	
	Quel est le dernier boss du raid "La Citadelle des Flammes infernales" ?	Archimonde	Assaut des flammes infernales	Saccageur de fer	Kormrok	Garrosh	Main noire	WOD	
	Quand les premiers légendaires sont t'ils apparut ?	Début du jeu	Wrath of the Lich King	Légion	Warlords of Draenor	The Burning Crusade	Cataclysm	Général	
	Quelle est la tête d'affiche de l'extension Mists of Pandaria	 Chen Brume d'Orage	Lili Brume d'Orage	Shen-zin Su	Taran Zhu	Un panda random	Po Ping	MOP	
	Quelle race est mise en avant durant toute l'extension Mists of Pandaria ?	Pandaren	Nain	Humain	Orc	Draeneï	Gnome	MOP	
	Combien de régions sont disponibles pendant Mists of Pandaria ?	7	5	6	4	8	9	MOP	
	Combien d'extensions ont précédé l'extension Mists of Pandaria ?	3	2	4	5	6	7	MOP	
	En quelle année a été annoncée l'extension Mists of Pandaria ?	2011	2009	2010	2012	2013	2014	MOP	
	En quelle année l'extension Mists of Pandaria est officiellement sortie ?	2012	2009	2010	2011	2013	2014	MOP	
	Quelle nouvelle classe a été inclut dans le jeu à Mists of Pandaria ?	Moine	Mage	Guerrier	Chasseur	Chasseur de démons	Démoniste	MOP	
	Oû se trouve le "Temple du Serpent de Jade" ?	Forêt de Jade	Vallée des quatre Vents	Étendues sauvages de Krasarang	Sommet de Kun-lai	Val de l’Éternel Printemps	Terres de l'Angoisse	MOP	
	Les Pandarens débutent sur...	 L’Île Vagabonde	 L’Île Vegan	 L’Île Brisée	 L’Île de Brume-Sang	 L’Île de Brume-Azur	 L’Île de Brume-Apaisante	MOP	
	Quel sont les ennemis Ancestraux des Pandarens ?	Mantides	Mogus	Trolls	Hozens	Serpents Nuage	Yaungols	MOP	
	L'Apparition du BattleTag...	Mists of Pandaria	Wrath of the Lich King	Légion	Warlords of Draenor	The Burning Crusade	Cataclysm	Général	
	Quelle est la capitale coté "Alliance" de l'extension Mists of Pandaria?	Sanctuaire des Sept-Etoiles	Hurlevent	Sanctuaire des Deux-Lunes	Micolline	Dalaran	Temple de niuzao	MOP	
	Quelle est la capitale coté "Horde" de l'extension Mists of Pandaria ?	Sanctuaire des Deux-Lunes	Orgrimmar	Sanctuaire des Sept-Etoiles	Micolline	Dalaran	Temple de niuzao	MOP	
	Combien de raids sont sorties durant l'extension Mists of Pandaria ?	5	4	6	1	2	3	MOP	
	Quel est le premier raid de l'extension Mists of Pandaria ?	Caveaux Mogu'Shan	Coeur de la peur	Terrasse printanière	Trône du tonnerre	Siège d'Orgrimmar	Bastion du Crépuscule	MOP	
	Quel est le dernier raid de l'extension Mists of Pandaria ?	Siège d'Orgrimmar	Caveaux Mogu'Shan	Coeur de la peur	Terrasse printanière	Trône du tonnerre	Bastion du Crépuscule	MOP	
	Laquelles de ces régions ne fait pas partie de l'extension Mists of Pandaria ?	Milles Pointes	Forêt de Jade	Étendues sauvages de Krasarang	Sommet de Kun-lai	Val de l’Éternel Printemps	Terres de l'Angoisse	MOP	
	Où se situe l'entrée du raid "Siège d'Orgrimmar" ?	Val de l’Éternel Printemps	Forêt de Jade	Étendues sauvages de Krasarang	Sommet de Kun-lai	Orgrimmar	Terres de l'Angoisse	MOP	
	Laquelle n'est pas une réputation issue de l'extension Mists of Pandaria ?	Les esprits de l'harmonie	Ordre du serpent-nuage	Astres vénérables	Hameçonneurs	Pandashan	Laboureurs	MOP	
	Laquelle n'est pas une réputation issue de l'extension Warlords of Draenor ?	Laboureurs	Conseil des exarques	Avant-garde de Wrynn	Défense Sha’tari	Lance de Voljin	Parias Arakkoas	WOD	
	Quelle est la bonne orthographe du raid "Caveaux M*****"	Caveaux Mogu'Shan	Caveaux Maugu'Shan	Caveaux Mogou'Shan	Caveaux Mogu'Chan	Caveaux Mogu'Chane	Caveaux Mogu'Shane	MOP	
	Dans quel donjon se trouve "Commandant Vo’jak"	Siège du temple de Niuzao	Monastère des Pandashan	Porte du Soleil couchant	Palais de Mogu’shan	Brasserie Brune d’Orage	Temple du Serpent de jade	MOP	
	Dans quel donjon se trouve "Taran Zhu"	Monastère des Pandashan	Porte du Soleil couchant	Palais de Mogu’shan	Brasserie Brune d’Orage	Temple du Serpent de jade	Siège du temple de Niuzao	MOP	
	Dans quel donjon se trouve "Commandant Ri’mok"	Porte du Soleil couchant	Monastère des Pandashan	Palais de Mogu’shan	Brasserie Brune d’Orage	Temple du Serpent de jade	Siège du temple de Niuzao	MOP	
	Dans quel donjon se trouve "L’épreuve du roi "	Palais de Mogu’shan	Monastère des Pandashan	Porte du Soleil couchant	Brasserie Brune d’Orage	Temple du Serpent de jade	Siège du temple de Niuzao	MOP	
	Dans quel donjon se trouve "Yan Zhu le Déballonné"	Brasserie Brune d’Orage	Monastère des Pandashan	Porte du Soleil couchant	Palais de Mogu’shan	Temple du Serpent de jade	Siège du temple de Niuzao	MOP	
	Dans quel donjon se trouve "Sage Mari"	Temple du Serpent de jade	Monastère des Pandashan	Porte du Soleil couchant	Palais de Mogu’shan	Brasserie Brune d’Orage	Siège du temple de Niuzao	MOP	
	Combien y a t'il d'Astres vénérables durant Mists of Pandaria	4	3	2	0	5	6	MOP	
	Quel est le dernier boss du raid "Siège d'Orgrimmar"	Garrosh Hurlenfer	Malkorok	Parangons des Klaxxi	Archimonde	Imperator Mar'Gok	Norushen	MOP	
	Quel est le premier boss du raid "Siège d'Orgrimmar"	Immerseus	Protecteurs déchus	Malkorok	Thok le sanguinaire	Parangons des Klaxxi	Sha de l'Orgueil	MOP	
	Quel est le dernier boss du raid "Trône du Tonnerre"	Ra Den	Concubines jumelles	Jin'rokh le Briseur	Horridon	Ji-kun	Primordius	MOP	
	Quel est l'équipement légendaire obtenue à l'extension Mist of Pandaria ?	Cape	Pieds	Mains	Tête	Jambes	Torse	MOP	
	Combien y t'il de Rares élites sur l'ile du temps figé diffèrent?	37	46	11	32	22	31	MOP	
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
	Quel est le boss final du raid "Palais sacrenuit" ?	Gul'dan	Archimonde	Krosus	Illidan	Sargeras	Thichondrius	LEGION	
	Quel est le boss final du raid "Cauchemar d'Emeraude" ?	Xavius	Ysera	Malfurion	Cenarius	Ysondre	Il'gyntoh	LEGION	
	Où se situe le raid le "Palais Sacrenuit" ?	Suramar	Haut-roc	Dalaran	Azsuna	Val'sharah	Tornheim	LEGION	
	Où se situe le raid le "cauchemar d'emeraude" ?	Val'sharah	Suramar	Dalaran	Azsuna	Tornheim	Haut-roc	LEGION	
	Où se situe le raid le Jugement des Valeureux ?	Tornheim	Suramar	Dalaran	Azsuna	Val'sharah	Haut-roc	LEGION	
	Où se situe le donjon Le Repaire de Neltharion ?	Haut-roc	Suramar	Dalaran	Azsuna	Val'sharah	Tornheim	LEGION	
	Où se situe le donjon Fouré Sombrecoeur ?	Val'sharah	Suramar	Dalaran	Azsuna	Tornheim	Haut-roc	LEGION	
	Où se situe le donjon Le Fort Pourpre ?	Dalaran	Suramar	Val'sharah	Azsuna	Tornheim	Haut-roc	LEGION	
	Où se situe le donjon L'oeil d'Azshara ?	Azsuna	Suramar	Val'sharah	Dalaran	Tornheim	Haut-roc	LEGION	
	Où se situe le donjon Cour des Etoiles ?	Suramar	Azsuna	Val'sharah	Dalaran	Tornheim	Haut-roc	LEGION	
	Où se situe le donjon L'arcavia ?	Suramar	Azsuna	Val'sharah	Dalaran	Tornheim	Haut-roc	LEGION	
	Où se situe le donjon Caveau des Gardiennes ?	Azsuna	Suramar	Val'sharah	Dalaran	Tornheim	Haut-roc	LEGION	
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
	Comment s'appelle le désert au Sud de Kalimdor ?	Tanaris							
	Combien y a-t-il de quartiers a Forgefer ?	6							
	Combien y a-t-il de quartiers a Darnassus?	5							
	Combien y a-t-il de quartiers a Hurlevent ?	6							
	Quand apparurent les arênes JCJ ?	Burning Crusade						pvp ou divers	
	Quelle est la plus vieille race d'Azeroth ?	Les trolls							
	De combien est la commission de l'hôtel des ventes ?	5%							
	Combien de livres constituent de Haut-fait "Bonne lecture" ?	42							
	Au bout de combien de temps Ragnaros fait-il appel à plusieurs élémentaires ?	3 minutes						Raid/MC	
	A quelle instance est liée la réputation Shen'dralar ?	Hache-Tripes						reput ou donjon	
	Où se trouve le domaine de classe des pretres ?							LEGION	
	Où se trouve le domaine de classe des paladins ?							LEGION	
	Où se trouve le domaine de classe des mages ?							LEGION	
	Où se trouve le domaine de classe des chevaliers de la mort ?							LEGION	
	Où se trouve le domaine de classe des druides ?							LEGION	
	Où se trouve le domaine de classe des chamans ?							LEGION	
	Où se trouve le domaine de classe démoniste ?							LEGION	
	Où se trouve le domaine de classe des chasseurs de démon ?							LEGION	
	Où se trouve le domaine classe des guerriers ?							LEGION	
	Où se trouve le domaine de classe des moines ?							LEGION	
	Quel type de mascotte est plus puissant contre les mascottes de type Magique ?	Aérien						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Aérien ?	Aquatique						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Aquatique ?	Elémentaire						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Elémentaire ?	Mécanique						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Mécanique ?	Bête						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Bête ?	Bestiole						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Bestiole ?	Mort-vivant						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Mort-vivant ?	Humanoïde						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Humanoïde ?	Draconien						mascotte/combat	
	Quel type de mascotte est plus puissant contre les mascottes de type Draconien ?	Magique						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Magique ?	Aquatique						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Aérien ?	Bête						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Aquatique ?	Mort-vivant						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Elémentaire ?	Mécanique						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Mécanique ?	Magique						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Bête ?	Humanoïde						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Bestiole ?	Élémentaire						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Mort-vivant ?	Draconien						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Humanoïde ?	Bestiole						mascotte/combat	
	Quel type de mascotte est moins puissant contre les mascottes de type Draconien ?	Aérien						mascotte/combat	
	Quelles races de mascotte survivent toujours a l'attaque "Apocalypse" ?	Les cafards et les hannetons						mascotte/combat	
									
									
									
									
									
									
									
									
	De quel type est l'attaque "Vague de soins" ?	Aquatique							
	De quel type est l'attaque "Tourbillonnement" ?	Aquatique							
	De quel type est l'attaque "Toucher acide" ?	Aquatique							
	De quel type est l'attaque "Tornade de carpes" ?	Aquatique							
	De quel type est l'attaque "Tir de givre" ?	Aquatique							
	De quel type est l'attaque "Raz de marée" ?	Aquatique							
	De quel type est l'attaque "Pompe" ?	Aquatique							
	De quel type est l'attaque "Pluie purifiante" ?	Aquatique							
	De quel type est l'attaque "Pluie acide" ?	Aquatique							
	De quel type est l'attaque "Plongeon" ?	Aquatique							
	De quel type est l'attaque "Peau toxique" ?	Aquatique							
	De quel type est l'attaque "Morsure profonde" ?	Aquatique							
	De quel type est l'attaque "Limon rampant" ?	Aquatique							
	De quel type est l'attaque "Inflige des dégats" ?	Aquatique							
	De quel type est l'attaque "Gober tout entier" ?	Aquatique							
	De quel type est l'attaque "Gifle tentaculaire" ?	Aquatique							
	De quel type est l'attaque "Gifle caudale" ?	Aquatique							
	De quel type est l'attaque "Flot guérisseur" ?	Aquatique							
	De quel type est l'attaque "Event à vapeur" ?	Aquatique							
	De quel type est l'attaque "Emprise" ?	Aquatique							
	De quel type est l'attaque "Ecrasement" ?	Aquatique							
	De quel type est l'attaque "Eclair de bière" ?	Aquatique							
	De quel type est l'attaque "Du sang dans l’eau" ?	Aquatique							
	De quel type est l'attaque "Douche de brouet" ?	Aquatique							
	De quel type est l'attaque "Danse de la pluie" ?	Aquatique							
	De quel type est l'attaque "Coup de poisson" ?	Aquatique							
	De quel type est l'attaque "Coassement" ?	Aquatique							
	De quel type est l'attaque "Carapace épineuse" ?	Aquatique							
	De quel type est l'attaque "Brumes de rénovation" ?	Aquatique							
	De quel type est l'attaque "Baiser de grenouille" ?	Aquatique							
	De quel type est l'attaque "Griffe" ?	Bête							
	De quel type est l'attaque "Aboiement" ?	Bête							
	De quel type est l'attaque "Aboiement surpuissant" ?	Bête							
	De quel type est l'attaque "Aiguillonneur acéré" ?	Bête							
	De quel type est l'attaque "Appel de la meute" ?	Bête							
	De quel type est l'attaque "Barrage de bananes" ?	Bête							
	De quel type est l'attaque "Blessure transperçante" ?	Bête							
	De quel type est l'attaque "Blessures ouvertes" ?	Bête							
	De quel type est l'attaque "Bondir" ?	Bête							
	De quel type est l'attaque "Bouclier de tricorne" ?	Bête							
	De quel type est l'attaque "Breuvage puant" ?	Bête							
	De quel type est l'attaque "Carapace blindée" ?	Bête							
	De quel type est l'attaque "Carapace bouclier" ?	Bête							
	De quel type est l'attaque "Charge chancelante" ?	Bête							
	De quel type est l'attaque "Charge de tricorne" ?	Bête							
	De quel type est l'attaque "Cherchez la vache" ?	Bête							
	De quel type est l'attaque "Choc" ?	Bête							
	De quel type est l'attaque "Claquement" ?	Bête							
	De quel type est l'attaque "Coup de corne" ?	Bête							
	De quel type est l'attaque "Coup de tête" ?	Bête							
	De quel type est l'attaque "Crachat de poison" ?	Bête							
	De quel type est l'attaque "Cri" ?	Bête							
	De quel type est l'attaque "Cri primal" ?	Bête							
	De quel type est l'attaque "Croc empoisonné" ?	Bête							
	De quel type est l'attaque "Croc énorme" ?	Bête							
	De quel type est l'attaque "Croc vicieux" ?	Bête							
	De quel type est l'attaque "Croc-de-sang" ?	Bête							
	De quel type est l'attaque "Déchiqueteur" ?	Bête							
	De quel type est l'attaque "Déchirure" ?	Bête							
	De quel type est l'attaque "Devenir cinglé" ?	Bête							
	De quel type est l'attaque "Dévorer" ?	Bête							
	De quel type est l'attaque "Donner à manger" ?	Bête							
	De quel type est l'attaque "Enfouir" ?	Bête							
	De quel type est l'attaque "Essaim de jeunes araignées" ?	Bête							
	De quel type est l'attaque "Feindre la mort" ?	Bête							
	De quel type est l'attaque "Frappe" ?	Bête							
	De quel type est l'attaque "Frappe retentissante" ?	Bête							
	De quel type est l'attaque "Griffe" ?	Bête							
	De quel type est l'attaque "Griffe noire" ?	Bête							
	De quel type est l'attaque "Griffes spectrales" ?	Bête							
	De quel type est l'attaque "Griffure" ?	Bête							
	De quel type est l'attaque "Grosse piqûre" ?	Bête							
	De quel type est l'attaque "Hiberner" ?	Bête							
	De quel type est l'attaque "Hurlement" ?	Bête							
	De quel type est l'attaque "Lacérer" ?	Bête							
	De quel type est l'attaque "Lancer de tonneau" ?	Bête							
	De quel type est l'attaque "Mignon mais costaud" ?	Bête							
	De quel type est l'attaque "Morsure" ?	Bête							
	De quel type est l'attaque "Mutilation" ?	Bête							
	De quel type est l'attaque "Mutiler" ?	Bête							
	De quel type est l'attaque "Piétiner" ?	Bête							
	De quel type est l'attaque "Piqûre" ?	Bête							
	De quel type est l'attaque "Poison aveuglant" ?	Bête							
	De quel type est l'attaque "Prison de cristal" ?	Bête							
	De quel type est l'attaque "Ravage" ?	Bête							
	De quel type est l'attaque "Rets gluants" ?	Bête							
	De quel type est l'attaque "Rôder" ?	Bête							
	De quel type est l'attaque "Ronger" ?	Bête							
	De quel type est l'attaque "Rosser" ?	Bête							
	De quel type est l'attaque "Ruée" ?	Bête							
	De quel type est l'attaque "Rugissement" ?	Bête							
	De quel type est l'attaque "Saccager" ?	Bête							
	De quel type est l'attaque "Sifflement" ?	Bête							
	De quel type est l'attaque "Sonner" ?	Bête							
	De quel type est l'attaque "Toile fragile" ?	Bête							
	De quel type est l'attaque "Traquenard" ?	Bête							
	De quel type est l'attaque "Triple claquement" ?	Bête							
	De quel type est l'attaque "Vengeance" ?	Bête							
	De quel type est l'attaque "Venin paralysant" ?	Bête							
	De quel type est l'attaque "Accroupi" ?	Bestiole							
	De quel type est l'attaque "Apaiser" ?	Bestiole							
	De quel type est l'attaque "Apocalypse" ?	Bestiole							
	De quel type est l'attaque "Apocalypse supérieure" ?	Bestiole							
	De quel type est l'attaque "Attaque rapide" ?	Bestiole							
	De quel type est l'attaque "Attaque sournoise" ?	Bestiole							
	De quel type est l'attaque "Barrage de castor" ?	Bestiole							
	De quel type est l'attaque "Barrage de glands" ?	Bestiole							
	De quel type est l'attaque "Bave acide" ?	Bestiole							
	De quel type est l'attaque "Bêler" ?	Bestiole							
	De quel type est l'attaque "Berceuse" ?	Bestiole							
	De quel type est l'attaque "Brouter" ?	Bestiole							
	De quel type est l'attaque "Chance incroyable" ?	Bestiole							
	De quel type est l'attaque "Coulée de boue" ?	Bestiole							
	De quel type est l'attaque "Danse de la chance" ?	Bestiole							
	De quel type est l'attaque "Danse éblouissante" ?	Bestiole							
	De quel type est l'attaque "Essaim" ?	Bestiole							
	De quel type est l'attaque "Essaim de moucherons" ?	Bestiole							
	De quel type est l'attaque "Flair" ?	Bestiole							
	De quel type est l'attaque "Flanquer" ?	Bestiole							
	De quel type est l'attaque "Fouette-langue" ?	Bestiole							
	De quel type est l'attaque "Frappe glougloutante" ?	Bestiole							
	De quel type est l'attaque "Lenteur et immobilisation" ?	Bestiole							
	De quel type est l'attaque "Mâchonner" ?	Bestiole							
	De quel type est l'attaque "Poussée d’adrénaline" ?	Bestiole							
	De quel type est l'attaque "Rafale" ?	Bestiole							
	De quel type est l'attaque "Refuge" ?	Bestiole							
	De quel type est l'attaque "Remontant" ?	Bestiole							
	De quel type est l'attaque "Répliquer" ?	Bestiole							
	De quel type est l'attaque "Réunion de famille" ?	Bestiole							
	De quel type est l'attaque "Sabot" ?	Bestiole							
	De quel type est l'attaque "Séquence vicieuse" ?	Bestiole							
	De quel type est l'attaque "Somnolence post-prandiale" ?	Bestiole							
	De quel type est l'attaque "Tempête de sable" ?	Bestiole							
	De quel type est l'attaque "Toucher de la Nature" ?	Bestiole							
	De quel type est l'attaque "Toupie" ?	Bestiole							
	De quel type est l'attaque "Tranquillité" ?	Bestiole							
	De quel type est l'attaque "Trésor enfoui" ?	Bestiole							
	De quel type est l'attaque "Trop trognon" ?	Bestiole							
	De quel type est l'attaque "Souffle" ?	Draconien							
	De quel type est l'attaque "Bénédiction antique" ?	Draconien							
	De quel type est l'attaque "Cataclysme" ?	Draconien							
	De quel type est l'attaque "Coup de queue" ?	Draconien							
	De quel type est l'attaque "Courbure temporelle" ?	Draconien							
	De quel type est l'attaque "Cri perçant" ?	Draconien							
	De quel type est l'attaque "Dévaster" ?	Draconien							
	De quel type est l'attaque "Flamme de soins" ?	Draconien							
	De quel type est l'attaque "Gaz narcotique" ?	Draconien							
	De quel type est l'attaque "Instabilité" ?	Draconien							
	De quel type est l'attaque "Météores" ?	Draconien							
	De quel type est l'attaque "Météorite du Crépuscule" ?	Draconien							
	De quel type est l'attaque "Ombreflamme" ?	Draconien							
	De quel type est l'attaque "Peau épineuse" ?	Draconien							
	De quel type est l'attaque "Présence d’émeraude" ?	Draconien							
	De quel type est l'attaque "Proto-frappe" ?	Draconien							
	De quel type est l'attaque "Remède draconique" ?	Draconien							
	De quel type est l'attaque "Rêve d’émeraude" ?	Draconien							
	De quel type est l'attaque "Souffle de flammes" ?	Draconien							
	De quel type est l'attaque "Souffle de givre" ?	Draconien							
	De quel type est l'attaque "Souffle de jade" ?	Draconien							
	De quel type est l'attaque "Souffle de peste" ?	Draconien							
	De quel type est l'attaque "Souffle profond" ?	Draconien							
	De quel type est l'attaque "Terre brûlée" ?	Draconien							
	De quel type est l'attaque "Tonneau" ?	Draconien							
	De quel type est l'attaque "Trait d’élémentium" ?	Draconien							
	De quel type est l'attaque "Sombre renaissance" ?	Elementaire							
